"o.c.sentence","o.c.feeling","n.p.sentence","n.p.feeling","g.feeling","gender","age","income","education","Location"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Somewhat important","Female","18-29","$0 - $24,999","Bachelor degree","Middle Atlantic"
"It's important for a person to be honest, kind and loyal.","Some","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Female","45-60","","Graduate degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Neither important nor unimportant (neutral)","Male","30-44","$150,000+","High school degree","East South Central"
"It's important for a person to be honest, kind, and loyal.","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Somewhat important","Female","18-29","","Some college or Associate degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","> 60","$25,000 - $49,999","Bachelor degree","West South Central"
"It's important for a person to be honest, kind and loyal.","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Very important","Female","45-60","$100,000 - $149,999","Graduate degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Male","18-29","$50,000 - $99,999","High school degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Very important","Female","> 60","$25,000 - $49,999","Some college or Associate degree","Pacific"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Female","45-60","","Bachelor degree","New England"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Somewhat important","Female","18-29","$0 - $24,999","High school degree","West North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not at all","Very important","Female","30-44","","Graduate degree","Middle Atlantic"
"It's important for a person to be honest, kind and loyal.","Some","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Female","45-60","$50,000 - $99,999","Graduate degree","South Atlantic"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","A lot","Very important","Male","30-44","$25,000 - $49,999","Graduate degree","West South Central"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Male","> 60","","Graduate degree","New England"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Female","45-60","$50,000 - $99,999","Some college or Associate degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","","","","",""
"It's important for a person to be honest, kind, and loyal.","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Female","45-60","$150,000+","Graduate degree","Middle Atlantic"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","Some","Very important","Male","45-60","$25,000 - $49,999","High school degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Female","18-29","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"It's important for a person to be honest, kind, and loyal.","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","A lot","Very important","Female","45-60","$100,000 - $149,999","Graduate degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Female","18-29","$0 - $24,999","Bachelor degree","East North Central"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","Very important","Male","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Some","","","","","",""
"It's important for a person to be honest, kind, and loyal.","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Not much","Somewhat important","Female","18-29","$50,000 - $99,999","Bachelor degree","West North Central"
